stock,date,open,high,low,close,volume
UNH,10/3/2014,71.4701,72.0434,71.3128,72.0249,2986435
UNH,11/3/2014,72.0527,72.5521,71.692,71.9325,3471320
UNH,12/3/2014,71.7283,72.1181,71.6819,72.0253,2875361
UNH,13/3/2014,72.1738,72.4894,71.4313,71.4777,3178656
UNH,14/3/2014,71.487,71.487,70.2154,70.2618,5128657
UNH,17/3/2014,70.6702,71.487,70.6238,71.2456,3517946
UNH,18/3/2014,71.4405,72.443,71.2549,72.3966,3670775
UNH,19/3/2014,72.4615,74.5313,72.3409,74.2157,9060088
UNH,20/3/2014,73.863,75.7287,73.7238,75.673,7786538
UNH,21/3/2014,76.2855,77.3344,75.4595,75.4966,11828107
UNH,24/3/2014,75.7843,75.8493,75.0511,75.4409,5306212
UNH,25/3/2014,75.7287,76.2484,75.1625,75.2739,4590186
UNH,26/3/2014,75.6266,76.3876,75.246,75.6822,6909988
UNH,27/3/2014,75.7194,76.0164,74.9768,75.1996,5453852
UNH,28/3/2014,75.5523,76.434,75.4224,75.7565,4787407
UNH,31/3/2014,76.1834,76.3598,75.5616,76.0999,3513665
UNH,1/4/2014,76.4341,77.0838,75.7194,75.9607,4339860
UNH,2/4/2014,75.6822,75.8679,75.4316,75.7472,3832145
UNH,3/4/2014,75.7843,76.4341,75.7379,76.3412,4215604
UNH,4/4/2014,76.7496,76.9724,75.5233,75.673,4788119
UNH,7/4/2014,75.6451,76.0906,74.949,75.2553,5290330
UNH,8/4/2014,75.246,75.6915,74.355,74.8655,4048983
UNH,9/4/2014,74.9954,75.7008,74.717,75.543,3308856
UNH,10/4/2014,75.5709,76.0999,74.0487,74.2436,4850066
UNH,11/4/2014,74.0394,74.225,73.1576,73.2783,3418743
UNH,14/4/2014,73.7331,73.9559,72.7496,73.4918,4013706
UNH,15/4/2014,73.6589,73.993,72.4522,73.7981,4719051
UNH,16/4/2014,73.7795,73.8259,71.9047,72.5729,8098381
UNH,17/4/2014,70.0205,71.1435,68.3219,70.336,13427199
UNH,21/4/2014,70.2618,70.9857,69.4172,69.5657,6912457
UNH,22/4/2014,69.7884,70.7166,69.5657,70.3175,6199367
UNH,23/4/2014,70.3639,70.6052,69.7142,69.9184,4645725
UNH,24/4/2014,70.6795,71.5426,70.4567,71.0878,4604993
UNH,25/4/2014,71.0693,71.7376,69.8255,70.2247,5416238
UNH,28/4/2014,70.8651,71.0786,70.0019,70.2989,5346755
UNH,29/4/2014,70.4938,70.7351,69.5053,69.7977,4813169
UNH,30/4/2014,69.8441,70.7166,69.5378,69.6492,6435883
UNH,1/5/2014,69.6585,69.9833,68.9252,69.5657,4597953
UNH,2/5/2014,69.3151,69.9184,69.1573,69.6399,3794748
UNH,5/5/2014,69.4543,69.8998,68.9624,69.8255,4476125
UNH,6/5/2014,69.7327,70.169,69.51,69.8534,4728216
UNH,7/5/2014,70.1597,72.3501,69.6863,72.313,6383483
UNH,8/5/2014,72.2295,72.4522,71.2271,71.3663,4943133
UNH,9/5/2014,71.3013,71.7468,71.1157,71.422,3465602
UNH,12/5/2014,71.654,72.4151,71.5612,72.1552,3110874
UNH,13/5/2014,72.2666,72.6007,71.9603,72.4337,3059008
UNH,14/5/2014,72.443,72.443,71.4127,71.6262,2635300
UNH,15/5/2014,71.6169,71.7654,70.7537,70.9857,3075204
UNH,16/5/2014,70.8651,71.1621,70.5495,71.1435,2974554
